id_alumno,suma_ansiedad,promedio_respuesta,nivel_3
2125,2.0,0.2857,Bajo
2126,3.0,0.4286,Bajo
2127,10.0,1.4286,Medio
2128,16.0,2.2857,Alto
2129,10.0,1.4286,Medio
2130,3.0,0.4286,Bajo
2131,10.0,1.4286,Medio
2132,17.0,2.4286,Alto
2133,10.0,1.4286,Medio
2134,16.0,2.2857,Alto
2135,11.0,1.5714,Medio
2136,2.0,0.2857,Bajo
2137,11.0,1.5714,Medio
2138,3.0,0.4286,Bajo
2139,3.0,0.4286,Bajo
2140,3.0,0.4286,Bajo
2141,16.0,2.2857,Alto
2142,3.0,0.4286,Bajo
2143,10.0,1.4286,Medio
2144,3.0,0.4286,Bajo
2145,2.0,0.2857,Bajo
2146,11.0,1.5714,Medio
2147,3.0,0.4286,Bajo
2148,2.0,0.2857,Bajo
2149,17.0,2.4286,Alto
2150,10.0,1.4286,Medio
2151,11.0,1.5714,Medio
2152,10.0,1.4286,Medio
2153,10.0,1.4286,Medio
2154,3.0,0.4286,Bajo
2155,16.0,2.2857,Alto
2156,3.0,0.4286,Bajo
2157,11.0,1.5714,Medio
2158,16.0,2.2857,Alto
2159,16.0,2.2857,Alto
2160,11.0,1.5714,Medio
2161,11.0,1.5714,Medio
2162,10.0,1.4286,Medio
2163,2.0,0.2857,Bajo
2164,2.0,0.2857,Bajo
2165,10.0,1.4286,Medio
2166,10.0,1.4286,Medio
2167,2.0,0.2857,Bajo
2168,11.0,1.5714,Medio
2169,17.0,2.4286,Alto
2170,2.0,0.2857,Bajo
2171,11.0,1.5714,Medio
2172,3.0,0.4286,Bajo
2173,10.0,1.4286,Medio
2174,11.0,1.5714,Medio
2175,11.0,1.5714,Medio
2176,3.0,0.4286,Bajo
2177,11.0,1.5714,Medio
2178,10.0,1.4286,Medio
2179,17.0,2.4286,Alto
2180,3.0,0.4286,Bajo
2181,3.0,0.4286,Bajo
2182,3.0,0.4286,Bajo
2183,2.0,0.2857,Bajo
2184,16.0,2.2857,Alto
2185,16.0,2.2857,Alto
2186,3.0,0.4286,Bajo
2187,11.0,1.5714,Medio
2188,2.0,0.2857,Bajo
2189,2.0,0.2857,Bajo
2190,10.0,1.4286,Medio
2191,11.0,1.5714,Medio
2192,3.0,0.4286,Bajo
2193,3.0,0.4286,Bajo
2194,17.0,2.4286,Alto
2195,11.0,1.5714,Medio
2196,11.0,1.5714,Medio
2197,10.0,1.4286,Medio
2198,3.0,0.4286,Bajo
2199,11.0,1.5714,Medio
2200,16.0,2.2857,Alto
2201,11.0,1.5714,Medio
2202,2.0,0.2857,Bajo
2203,3.0,0.4286,Bajo
2204,3.0,0.4286,Bajo
2205,10.0,1.4286,Medio
2206,2.0,0.2857,Bajo
2207,2.0,0.2857,Bajo
2208,2.0,0.2857,Bajo
2209,16.0,2.2857,Alto
2210,2.0,0.2857,Bajo
2211,3.0,0.4286,Bajo
2212,10.0,1.4286,Medio
2213,2.0,0.2857,Bajo
2214,3.0,0.4286,Bajo
2215,10.0,1.4286,Medio
2216,3.0,0.4286,Bajo
2217,10.0,1.4286,Medio
2218,3.0,0.4286,Bajo
2219,3.0,0.4286,Bajo
2220,10.0,1.4286,Medio
2221,3.0,0.4286,Bajo
2222,11.0,1.5714,Medio
2223,10.0,1.4286,Medio
2224,3.0,0.4286,Bajo
2225,3.0,0.4286,Bajo
2226,11.0,1.5714,Medio
2227,16.0,2.2857,Alto
2228,3.0,0.4286,Bajo
2229,2.0,0.2857,Bajo
2230,3.0,0.4286,Bajo
2231,2.0,0.2857,Bajo
2232,2.0,0.2857,Bajo
2233,3.0,0.4286,Bajo
2234,2.0,0.2857,Bajo
2235,11.0,1.5714,Medio
2236,3.0,0.4286,Bajo
2237,3.0,0.4286,Bajo
2238,10.0,1.4286,Medio
2239,11.0,1.5714,Medio
2240,2.0,0.2857,Bajo
2241,16.0,2.2857,Alto
2242,10.0,1.4286,Medio
2243,3.0,0.4286,Bajo
2244,10.0,1.4286,Medio
2245,16.0,2.2857,Alto
2246,11.0,1.5714,Medio
2247,11.0,1.5714,Medio
2248,11.0,1.5714,Medio
2249,17.0,2.4286,Alto
2250,2.0,0.2857,Bajo
2251,11.0,1.5714,Medio
2252,11.0,1.5714,Medio
2253,3.0,0.4286,Bajo
2254,10.0,1.4286,Medio
2255,16.0,2.2857,Alto
2256,16.0,2.2857,Alto
2257,10.0,1.4286,Medio
2258,16.0,2.2857,Alto
2259,11.0,1.5714,Medio
2260,2.0,0.2857,Bajo
2261,3.0,0.4286,Bajo
2262,10.0,1.4286,Medio
2263,2.0,0.2857,Bajo
2264,11.0,1.5714,Medio
2265,11.0,1.5714,Medio
2266,3.0,0.4286,Bajo
2267,10.0,1.4286,Medio
2268,17.0,2.4286,Alto
2269,16.0,2.2857,Alto
2270,16.0,2.2857,Alto
2271,10.0,1.4286,Medio
2272,10.0,1.4286,Medio
2273,3.0,0.4286,Bajo
2274,16.0,2.2857,Alto
2275,2.0,0.2857,Bajo
2276,10.0,1.4286,Medio
2277,11.0,1.5714,Medio
2278,16.0,2.2857,Alto
2279,2.0,0.2857,Bajo
2280,10.0,1.4286,Medio
2281,11.0,1.5714,Medio
2282,16.0,2.2857,Alto
2283,11.0,1.5714,Medio
2284,2.0,0.2857,Bajo
2285,10.0,1.4286,Medio
2286,3.0,0.4286,Bajo
2287,16.0,2.2857,Alto
2288,17.0,2.4286,Alto
2289,10.0,1.4286,Medio
2290,2.0,0.2857,Bajo
2291,3.0,0.4286,Bajo
2292,10.0,1.4286,Medio
2293,11.0,1.5714,Medio
2294,11.0,1.5714,Medio
2295,10.0,1.4286,Medio
2296,10.0,1.4286,Medio
2297,3.0,0.4286,Bajo
2298,16.0,2.2857,Alto
2299,10.0,1.4286,Medio
2300,3.0,0.4286,Bajo
2301,3.0,0.4286,Bajo
2302,2.0,0.2857,Bajo
2303,10.0,1.4286,Medio
2304,10.0,1.4286,Medio
2305,3.0,0.4286,Bajo
2306,2.0,0.2857,Bajo
2307,10.0,1.4286,Medio
2308,2.0,0.2857,Bajo
2309,11.0,1.5714,Medio
2310,3.0,0.4286,Bajo
2311,2.0,0.2857,Bajo
2312,2.0,0.2857,Bajo
2313,11.0,1.5714,Medio
2314,11.0,1.5714,Medio
2315,17.0,2.4286,Alto
2316,16.0,2.2857,Alto
2317,3.0,0.4286,Bajo
2318,2.0,0.2857,Bajo
2319,16.0,2.2857,Alto
2320,16.0,2.2857,Alto
2321,10.0,1.4286,Medio
2322,10.0,1.4286,Medio
2323,10.0,1.4286,Medio
2324,10.0,1.4286,Medio
2325,10.0,1.4286,Medio
2326,10.0,1.4286,Medio
2327,11.0,1.5714,Medio
2328,11.0,1.5714,Medio
2329,11.0,1.5714,Medio
2330,16.0,2.2857,Alto
2331,3.0,0.4286,Bajo
2332,16.0,2.2857,Alto
2333,11.0,1.5714,Medio
2334,11.0,1.5714,Medio
2335,16.0,2.2857,Alto
2336,2.0,0.2857,Bajo
2337,11.0,1.5714,Medio
2338,3.0,0.4286,Bajo
2339,11.0,1.5714,Medio
2340,11.0,1.5714,Medio
2341,11.0,1.5714,Medio
2342,16.0,2.2857,Alto
2343,17.0,2.4286,Alto
2344,3.0,0.4286,Bajo
2345,10.0,1.4286,Medio
2346,2.0,0.2857,Bajo
2347,2.0,0.2857,Bajo
2348,17.0,2.4286,Alto
2349,11.0,1.5714,Medio
2350,17.0,2.4286,Alto
2351,11.0,1.5714,Medio
2352,3.0,0.4286,Bajo
2353,11.0,1.5714,Medio
2354,10.0,1.4286,Medio
2355,3.0,0.4286,Bajo
2356,11.0,1.5714,Medio
2357,11.0,1.5714,Medio
2358,2.0,0.2857,Bajo
2359,3.0,0.4286,Bajo
2360,16.0,2.2857,Alto
2361,10.0,1.4286,Medio
2362,10.0,1.4286,Medio
2363,11.0,1.5714,Medio
2364,3.0,0.4286,Bajo
2365,17.0,2.4286,Alto
2366,2.0,0.2857,Bajo
2367,3.0,0.4286,Bajo
2368,16.0,2.2857,Alto
2369,11.0,1.5714,Medio
2370,3.0,0.4286,Bajo
2371,2.0,0.2857,Bajo
2372,2.0,0.2857,Bajo
2373,3.0,0.4286,Bajo
2374,2.0,0.2857,Bajo
2375,16.0,2.2857,Alto
2376,3.0,0.4286,Bajo
2377,2.0,0.2857,Bajo
2378,11.0,1.5714,Medio
2379,11.0,1.5714,Medio
2380,10.0,1.4286,Medio
2381,10.0,1.4286,Medio
2382,10.0,1.4286,Medio
2383,2.0,0.2857,Bajo
2384,2.0,0.2857,Bajo
2385,10.0,1.4286,Medio
2386,16.0,2.2857,Alto
2387,3.0,0.4286,Bajo
2388,11.0,1.5714,Medio
2389,17.0,2.4286,Alto
2390,16.0,2.2857,Alto
2391,16.0,2.2857,Alto
2392,10.0,1.4286,Medio
2393,10.0,1.4286,Medio
2394,3.0,0.4286,Bajo
2395,16.0,2.2857,Alto
2396,16.0,2.2857,Alto
2397,11.0,1.5714,Medio
2398,10.0,1.4286,Medio
2399,16.0,2.2857,Alto
2400,10.0,1.4286,Medio
2401,17.0,2.4286,Alto
2402,11.0,1.5714,Medio
2403,17.0,2.4286,Alto
2404,2.0,0.2857,Bajo
2405,16.0,2.2857,Alto
2406,10.0,1.4286,Medio
2407,3.0,0.4286,Bajo
2408,17.0,2.4286,Alto
2409,3.0,0.4286,Bajo
2410,17.0,2.4286,Alto
2411,3.0,0.4286,Bajo
2412,2.0,0.2857,Bajo
2413,16.0,2.2857,Alto
2414,3.0,0.4286,Bajo
2415,3.0,0.4286,Bajo
2416,3.0,0.4286,Bajo
2417,16.0,2.2857,Alto
2418,2.0,0.2857,Bajo
2419,3.0,0.4286,Bajo
2420,2.0,0.2857,Bajo
2421,3.0,0.4286,Bajo
2422,2.0,0.2857,Bajo
2423,16.0,2.2857,Alto
2424,3.0,0.4286,Bajo
2425,3.0,0.4286,Bajo
2426,17.0,2.4286,Alto
2427,10.0,1.4286,Medio
2428,10.0,1.4286,Medio
2429,11.0,1.5714,Medio
2430,11.0,1.5714,Medio
2431,11.0,1.5714,Medio
2432,11.0,1.5714,Medio
2433,11.0,1.5714,Medio
2434,3.0,0.4286,Bajo
2435,16.0,2.2857,Alto
2436,16.0,2.2857,Alto
2437,17.0,2.4286,Alto
2438,3.0,0.4286,Bajo
2439,2.0,0.2857,Bajo
2440,10.0,1.4286,Medio
2441,2.0,0.2857,Bajo
2442,16.0,2.2857,Alto
2443,16.0,2.2857,Alto
2444,16.0,2.2857,Alto
2445,17.0,2.4286,Alto
2446,11.0,1.5714,Medio
2447,11.0,1.5714,Medio
2448,17.0,2.4286,Alto
2449,3.0,0.4286,Bajo
2450,3.0,0.4286,Bajo
2451,10.0,1.4286,Medio
2452,2.0,0.2857,Bajo
2453,2.0,0.2857,Bajo
2454,3.0,0.4286,Bajo
2455,3.0,0.4286,Bajo
2456,10.0,1.4286,Medio
2457,11.0,1.5714,Medio
2458,11.0,1.5714,Medio
2459,11.0,1.5714,Medio
2460,10.0,1.4286,Medio
2461,11.0,1.5714,Medio
2462,3.0,0.4286,Bajo
2463,3.0,0.4286,Bajo
2464,2.0,0.2857,Bajo
2465,16.0,2.2857,Alto
2466,11.0,1.5714,Medio
2467,17.0,2.4286,Alto
2468,3.0,0.4286,Bajo
2469,10.0,1.4286,Medio
2470,16.0,2.2857,Alto
2471,3.0,0.4286,Bajo
2472,2.0,0.2857,Bajo
2473,3.0,0.4286,Bajo
2474,11.0,1.5714,Medio
2475,10.0,1.4286,Medio
2476,10.0,1.4286,Medio
2477,10.0,1.4286,Medio
2478,10.0,1.4286,Medio
2479,16.0,2.2857,Alto
2480,11.0,1.5714,Medio
2481,3.0,0.4286,Bajo
2482,10.0,1.4286,Medio
2483,10.0,1.4286,Medio
2484,2.0,0.2857,Bajo
2485,2.0,0.2857,Bajo
2486,11.0,1.5714,Medio
2487,10.0,1.4286,Medio
2488,10.0,1.4286,Medio
2489,2.0,0.2857,Bajo
2490,3.0,0.4286,Bajo
2491,10.0,1.4286,Medio
2492,11.0,1.5714,Medio
2493,3.0,0.4286,Bajo
2494,16.0,2.2857,Alto
2495,2.0,0.2857,Bajo
2496,11.0,1.5714,Medio
2497,11.0,1.5714,Medio
2498,10.0,1.4286,Medio
2499,17.0,2.4286,Alto
2500,2.0,0.2857,Bajo
2501,2.0,0.2857,Bajo
2502,17.0,2.4286,Alto
2503,3.0,0.4286,Bajo
2504,11.0,1.5714,Medio
2505,11.0,1.5714,Medio
2506,3.0,0.4286,Bajo
2507,16.0,2.2857,Alto
2508,10.0,1.4286,Medio
2509,11.0,1.5714,Medio
2510,16.0,2.2857,Alto
2511,3.0,0.4286,Bajo
