id_alumno,promedio_anterior,semestre,materias,edad,transporte,familiares,trabajo,beca,sexo,estado_civil,carrera,suma_ansiedad,nivel_proporcional,nivel_percentiles,nivel_std,nivel_ansiedad
3539,86.2,6,4,18,2,0,0,0,F,Casado,IINF,4.0,Bajo,Medio,Medio,Bajo
3540,87.5,4,8,19,0,0,0,0,F,Soltero,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3541,89.9,8,5,19,2,0,0,1,M,Soltero,IGE,2.0,Bajo,Medio,Medio,Bajo
3542,92.3,4,7,23,2,0,1,0,F,Soltero,ISC,4.0,Bajo,Medio,Medio,Bajo
3543,78.4,8,6,21,2,0,0,0,F,Casado,ISC,4.0,Bajo,Medio,Medio,Bajo
3544,79.4,8,7,27,3,0,0,0,M,Soltero,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3545,72.3,5,8,20,0,0,0,0,M,Soltero,IINF,0.0,Bajo,Bajo,Bajo,Bajo
3546,84.5,4,6,20,1,0,0,0,F,Soltero,IINF,0.0,Bajo,Bajo,Bajo,Bajo
3547,70.9,2,8,20,0,0,0,0,M,Soltero,ISC,6.0,Medio,Alto,Alto,Medio
3548,81.6,3,5,23,1,0,1,1,F,Soltero,IGE,6.0,Medio,Alto,Alto,Medio
3549,83.6,3,4,25,3,0,0,0,F,Casado,ISC,8.0,Alto,Alto,Alto,Alto
3550,77.2,4,6,24,3,0,0,0,M,Soltero,ISC,4.0,Bajo,Medio,Medio,Bajo
3551,84.8,4,5,21,3,0,0,1,F,Soltero,ICD,3.0,Bajo,Medio,Medio,Bajo
3552,70.8,10,5,21,3,0,1,0,F,Casado,ICD,2.0,Bajo,Medio,Medio,Bajo
3553,70.9,5,6,27,1,0,0,0,M,Soltero,ICD,5.0,Medio,Alto,Alto,Medio
3554,90.6,4,8,19,2,0,1,0,M,Soltero,IINF,2.0,Bajo,Medio,Medio,Bajo
3555,79.0,10,5,18,1,0,0,0,M,Casado,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3556,73.2,8,7,26,0,0,0,0,M,Soltero,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3557,83.1,6,5,19,3,0,0,1,F,Soltero,IGE,2.0,Bajo,Medio,Medio,Bajo
3558,89.2,6,8,25,3,0,0,0,M,Soltero,IGE,4.0,Bajo,Medio,Medio,Bajo
3559,75.4,8,8,26,0,0,0,0,F,Soltero,ICD,1.0,Bajo,Bajo,Bajo,Bajo
3560,85.6,7,7,21,1,0,1,0,M,Soltero,IINF,0.0,Bajo,Bajo,Bajo,Bajo
3561,72.1,10,5,25,2,0,0,1,M,Soltero,IINF,10.0,Alto,Alto,Alto,Alto
3562,71.3,10,8,26,2,0,0,1,F,Soltero,ICD,3.0,Bajo,Medio,Medio,Bajo
3563,83.3,8,6,27,0,0,0,1,F,Casado,IINF,4.0,Bajo,Medio,Medio,Bajo
3564,83.5,2,4,27,2,0,1,0,M,Soltero,ICD,10.0,Alto,Alto,Alto,Alto
3565,85.9,9,4,22,1,0,1,0,M,Casado,IGE,5.0,Medio,Alto,Alto,Medio
3566,88.2,1,4,24,1,0,0,0,M,Casado,ICD,10.0,Alto,Alto,Alto,Alto
3567,94.4,8,5,27,0,0,1,0,M,Soltero,IGE,2.0,Bajo,Medio,Medio,Bajo
3568,82.9,4,7,21,1,0,0,0,F,Soltero,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3569,78.1,4,8,18,3,0,0,0,M,Soltero,ISC,2.0,Bajo,Medio,Medio,Bajo
3570,89.9,5,6,20,0,0,1,0,M,Soltero,ICD,5.0,Medio,Alto,Alto,Medio
3571,76.8,8,6,22,1,0,1,0,M,Casado,ISC,1.0,Bajo,Bajo,Bajo,Bajo
3572,81.0,5,5,20,0,0,0,0,F,Soltero,ICD,7.0,Medio,Alto,Alto,Medio
3573,72.0,8,4,24,2,0,0,0,F,Soltero,ICD,3.0,Bajo,Medio,Medio,Bajo
3574,70.6,10,5,26,1,0,0,0,M,Soltero,ISC,2.0,Bajo,Medio,Medio,Bajo
3575,94.1,1,7,23,3,0,1,0,F,Soltero,ISC,5.0,Medio,Alto,Alto,Medio
3576,90.9,10,7,27,1,0,0,0,M,Soltero,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3577,87.4,9,8,18,0,0,0,1,M,Soltero,IINF,1.0,Bajo,Bajo,Bajo,Bajo
3578,80.2,6,8,24,0,0,0,0,F,Soltero,IGE,5.0,Medio,Alto,Alto,Medio
3579,74.3,3,7,20,1,0,0,0,F,Soltero,ISC,5.0,Medio,Alto,Alto,Medio
3580,73.9,8,7,22,3,0,0,0,F,Soltero,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3581,76.3,9,7,27,3,0,1,1,F,Soltero,IINF,5.0,Medio,Alto,Alto,Medio
3582,83.7,6,5,21,3,0,0,0,M,Soltero,IINF,6.0,Medio,Alto,Alto,Medio
3583,87.9,7,7,27,0,0,0,0,F,Casado,IINF,6.0,Medio,Alto,Alto,Medio
3584,86.5,1,6,22,1,0,0,0,M,Soltero,ISC,5.0,Medio,Alto,Alto,Medio
3585,77.0,5,4,22,2,0,1,0,F,Soltero,IINF,5.0,Medio,Alto,Alto,Medio
3586,93.9,5,7,23,0,0,0,0,M,Soltero,ISC,4.0,Bajo,Medio,Medio,Bajo
3587,88.4,10,4,27,3,0,0,0,F,Soltero,IINF,1.0,Bajo,Bajo,Bajo,Bajo
3588,83.9,4,5,27,1,0,1,1,M,Casado,IGE,2.0,Bajo,Medio,Medio,Bajo
3589,85.3,6,4,23,3,0,1,0,M,Soltero,IGE,2.0,Bajo,Medio,Medio,Bajo
3590,80.5,7,5,25,2,0,1,1,F,Soltero,ICD,2.0,Bajo,Medio,Medio,Bajo
3591,76.2,9,6,25,3,0,1,0,M,Soltero,IGE,4.0,Bajo,Medio,Medio,Bajo
3592,78.9,1,5,26,3,0,0,0,M,Soltero,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3593,88.9,6,5,25,2,0,1,1,M,Soltero,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3594,70.4,7,8,19,1,0,0,0,M,Soltero,ISC,5.0,Medio,Alto,Alto,Medio
3595,72.9,3,7,27,0,0,1,0,M,Soltero,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3596,71.2,8,7,18,1,0,1,0,M,Soltero,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3597,71.0,5,6,27,2,0,1,0,F,Soltero,ICD,4.0,Bajo,Medio,Medio,Bajo
3598,91.4,9,6,19,3,0,0,0,M,Casado,IINF,5.0,Medio,Alto,Alto,Medio
3599,87.6,5,7,19,1,0,0,0,F,Soltero,ISC,5.0,Medio,Alto,Alto,Medio
3600,81.9,9,8,20,0,0,0,0,F,Soltero,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3601,72.4,10,7,27,2,0,1,0,M,Soltero,IINF,1.0,Bajo,Bajo,Bajo,Bajo
3602,82.3,4,8,24,1,0,1,0,F,Casado,IGE,4.0,Bajo,Medio,Medio,Bajo
3603,81.8,9,6,19,0,0,0,0,M,Soltero,IGE,3.0,Bajo,Medio,Medio,Bajo
3604,74.3,5,4,18,2,0,0,0,F,Casado,IINF,1.0,Bajo,Bajo,Bajo,Bajo
3605,80.8,10,6,23,0,0,0,0,M,Soltero,IINF,4.0,Bajo,Medio,Medio,Bajo
3606,80.0,9,6,26,2,0,1,0,M,Soltero,IINF,3.0,Bajo,Medio,Medio,Bajo
3607,85.4,3,5,20,3,0,1,0,F,Soltero,IINF,6.0,Medio,Alto,Alto,Medio
3608,85.9,4,5,23,1,0,0,1,F,Soltero,IINF,0.0,Bajo,Bajo,Bajo,Bajo
3609,71.1,9,5,20,0,0,0,0,F,Soltero,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3610,79.4,10,5,18,2,0,1,0,M,Soltero,IINF,0.0,Bajo,Bajo,Bajo,Bajo
3611,85.6,6,8,22,0,0,1,0,F,Soltero,ISC,3.0,Bajo,Medio,Medio,Bajo
3612,82.6,2,7,27,0,0,0,0,M,Soltero,ICD,3.0,Bajo,Medio,Medio,Bajo
3613,91.4,7,4,21,1,0,0,0,M,Soltero,IINF,1.0,Bajo,Bajo,Bajo,Bajo
3614,86.5,2,6,24,3,0,0,1,M,Soltero,IINF,10.0,Alto,Alto,Alto,Alto
3615,74.1,2,8,23,0,0,0,0,F,Soltero,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3616,71.8,1,4,27,2,0,0,1,M,Soltero,IINF,2.0,Bajo,Medio,Medio,Bajo
3617,86.1,3,8,24,2,0,0,1,M,Soltero,IINF,1.0,Bajo,Bajo,Bajo,Bajo
3618,70.7,6,8,22,3,0,1,1,F,Soltero,IINF,4.0,Bajo,Medio,Medio,Bajo
3619,84.6,8,6,21,2,0,0,1,M,Casado,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3620,93.5,9,7,24,3,0,1,0,M,Soltero,IINF,0.0,Bajo,Bajo,Bajo,Bajo
3621,84.4,7,5,24,2,0,0,0,M,Soltero,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3622,79.7,4,7,23,1,0,0,0,F,Soltero,IGE,2.0,Bajo,Medio,Medio,Bajo
3623,86.1,6,6,25,0,0,0,0,M,Casado,ICD,4.0,Bajo,Medio,Medio,Bajo
3624,81.5,5,6,21,1,0,0,0,M,Soltero,IGE,3.0,Bajo,Medio,Medio,Bajo
3625,83.6,8,6,27,0,0,1,0,F,Soltero,IINF,5.0,Medio,Alto,Alto,Medio
3626,93.5,1,4,22,0,0,1,0,F,Casado,ICD,4.0,Bajo,Medio,Medio,Bajo
3627,79.7,1,7,21,0,0,0,0,M,Soltero,IGE,2.0,Bajo,Medio,Medio,Bajo
3628,94.0,6,7,18,1,0,0,0,F,Soltero,ISC,7.0,Medio,Alto,Alto,Medio
3629,92.6,10,8,25,0,0,1,0,F,Soltero,IINF,10.0,Alto,Alto,Alto,Alto
3630,74.9,2,8,18,1,0,0,0,F,Soltero,IGE,5.0,Medio,Alto,Alto,Medio
3631,71.7,5,8,22,3,0,0,1,M,Soltero,ISC,0.0,Bajo,Bajo,Bajo,Bajo
3632,72.5,1,6,23,2,0,1,0,F,Casado,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3633,70.5,7,7,23,2,0,0,0,M,Soltero,ISC,2.0,Bajo,Medio,Medio,Bajo
3634,72.4,1,6,22,0,0,0,0,M,Casado,IINF,3.0,Bajo,Medio,Medio,Bajo
3635,87.1,4,4,20,1,0,0,0,M,Soltero,ICD,5.0,Medio,Alto,Alto,Medio
3636,71.8,9,8,22,2,0,1,0,M,Soltero,ISC,4.0,Bajo,Medio,Medio,Bajo
3637,78.0,1,6,25,1,0,0,0,M,Soltero,IGE,4.0,Bajo,Medio,Medio,Bajo
3638,91.1,4,6,19,1,0,0,0,F,Soltero,IINF,6.0,Medio,Alto,Alto,Medio
3639,70.6,6,4,23,0,0,1,0,M,Soltero,ISC,1.0,Bajo,Bajo,Bajo,Bajo
3640,90.4,6,5,26,2,0,0,0,M,Soltero,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3641,77.0,8,7,25,0,0,1,0,M,Soltero,IGE,9.0,Alto,Alto,Alto,Alto
3642,73.0,1,5,25,0,0,0,0,M,Soltero,IGE,2.0,Bajo,Medio,Medio,Bajo
3643,87.4,7,8,25,2,0,1,0,F,Soltero,ISC,0.0,Bajo,Bajo,Bajo,Bajo
3644,85.7,1,6,24,2,0,0,0,M,Soltero,ISC,3.0,Bajo,Medio,Medio,Bajo
3645,91.9,7,4,25,3,0,0,1,M,Soltero,ISC,6.0,Medio,Alto,Alto,Medio
3646,88.4,3,4,23,3,0,0,0,M,Soltero,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3647,90.1,8,7,19,1,0,0,0,M,Soltero,ISC,7.0,Medio,Alto,Alto,Medio
3648,77.1,3,5,19,2,0,1,0,M,Casado,ISC,3.0,Bajo,Medio,Medio,Bajo
3649,74.4,1,7,25,3,0,1,0,F,Soltero,ISC,0.0,Bajo,Bajo,Bajo,Bajo
3650,88.8,8,6,18,1,0,0,0,F,Soltero,ICD,6.0,Medio,Alto,Alto,Medio
3651,90.2,3,7,23,1,0,0,0,M,Soltero,ISC,0.0,Bajo,Bajo,Bajo,Bajo
3652,94.8,2,4,23,1,0,1,1,F,Soltero,IGE,2.0,Bajo,Medio,Medio,Bajo
3653,80.3,1,4,21,3,0,1,0,F,Soltero,ISC,0.0,Bajo,Bajo,Bajo,Bajo
3654,79.3,3,8,27,2,0,0,0,F,Casado,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3655,89.4,2,8,20,0,0,0,0,M,Casado,IGE,7.0,Medio,Alto,Alto,Medio
3656,78.5,2,6,20,1,0,0,0,M,Soltero,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3657,93.3,6,5,18,3,0,0,0,M,Soltero,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3658,91.5,1,7,20,3,0,0,0,F,Soltero,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3659,80.7,2,6,21,0,0,0,1,F,Soltero,ICD,4.0,Bajo,Medio,Medio,Bajo
3660,88.8,6,8,22,0,0,0,0,M,Soltero,ISC,0.0,Bajo,Bajo,Bajo,Bajo
3661,88.9,3,7,20,3,0,1,0,M,Soltero,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3662,72.6,4,8,23,2,0,0,1,F,Soltero,ICD,4.0,Bajo,Medio,Medio,Bajo
3663,92.6,1,7,22,0,0,0,0,F,Soltero,ICD,3.0,Bajo,Medio,Medio,Bajo
3664,82.6,8,5,20,3,0,0,1,F,Soltero,ISC,6.0,Medio,Alto,Alto,Medio
3665,90.7,7,6,23,0,0,0,0,F,Casado,ICD,7.0,Medio,Alto,Alto,Medio
3666,78.0,7,7,23,2,0,0,1,M,Soltero,ISC,7.0,Medio,Alto,Alto,Medio
3667,92.4,3,4,25,1,0,0,0,F,Soltero,IINF,10.0,Alto,Alto,Alto,Alto
3668,79.7,10,4,19,0,0,0,1,F,Soltero,ICD,7.0,Medio,Alto,Alto,Medio
3669,70.3,10,7,18,2,0,0,1,M,Casado,IINF,3.0,Bajo,Medio,Medio,Bajo
3670,92.6,3,7,21,3,0,0,0,M,Casado,ISC,2.0,Bajo,Medio,Medio,Bajo
3671,72.3,2,7,24,0,0,0,1,F,Soltero,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3672,78.0,1,4,27,0,0,1,0,M,Soltero,ICD,6.0,Medio,Alto,Alto,Medio
3673,93.8,7,4,20,3,0,0,0,F,Soltero,ISC,0.0,Bajo,Bajo,Bajo,Bajo
3674,93.8,7,7,20,1,0,1,0,F,Soltero,IGE,5.0,Medio,Alto,Alto,Medio
3675,84.3,2,8,22,3,0,0,0,F,Soltero,IGE,4.0,Bajo,Medio,Medio,Bajo
3676,85.8,7,8,22,0,0,0,0,M,Soltero,IINF,10.0,Alto,Alto,Alto,Alto
3677,81.2,8,5,27,3,0,0,0,M,Soltero,ISC,0.0,Bajo,Bajo,Bajo,Bajo
3678,77.3,1,6,20,2,0,0,0,F,Soltero,IGE,2.0,Bajo,Medio,Medio,Bajo
3679,78.2,9,8,26,3,0,1,1,M,Soltero,ICD,6.0,Medio,Alto,Alto,Medio
3680,86.8,7,4,21,0,0,1,1,F,Casado,ICD,2.0,Bajo,Medio,Medio,Bajo
3681,88.8,3,8,20,3,0,1,0,F,Soltero,IINF,1.0,Bajo,Bajo,Bajo,Bajo
3682,89.8,8,5,19,1,0,0,0,M,Soltero,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3683,89.7,7,5,27,3,0,0,0,M,Soltero,ISC,1.0,Bajo,Bajo,Bajo,Bajo
3684,72.3,8,6,26,1,0,0,0,M,Soltero,ICD,3.0,Bajo,Medio,Medio,Bajo
3685,82.4,6,8,21,2,0,0,0,M,Soltero,IGE,3.0,Bajo,Medio,Medio,Bajo
3686,71.4,9,4,20,1,0,0,0,F,Soltero,IGE,6.0,Medio,Alto,Alto,Medio
3687,83.7,5,4,24,3,0,0,0,F,Casado,IINF,0.0,Bajo,Bajo,Bajo,Bajo
3688,81.0,3,7,25,0,0,0,1,F,Soltero,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3689,92.2,3,4,19,1,0,0,0,F,Soltero,ICD,5.0,Medio,Alto,Alto,Medio
3690,78.8,1,6,24,2,0,1,0,M,Casado,ISC,1.0,Bajo,Bajo,Bajo,Bajo
3691,72.9,8,6,22,1,0,1,0,F,Soltero,ICD,9.0,Alto,Alto,Alto,Alto
3692,73.6,2,4,22,1,0,1,0,F,Soltero,ISC,1.0,Bajo,Bajo,Bajo,Bajo
3693,89.0,3,4,20,1,0,0,0,F,Soltero,ICD,1.0,Bajo,Bajo,Bajo,Bajo
3694,85.5,8,7,22,2,0,0,0,F,Soltero,IINF,6.0,Medio,Alto,Alto,Medio
3695,72.5,8,4,19,3,0,0,0,M,Soltero,ICD,7.0,Medio,Alto,Alto,Medio
3696,72.1,4,7,21,1,0,1,0,F,Soltero,ISC,1.0,Bajo,Bajo,Bajo,Bajo
3697,87.5,4,7,23,1,0,0,1,M,Soltero,ISC,3.0,Bajo,Medio,Medio,Bajo
3698,71.8,5,4,18,0,0,0,1,M,Soltero,IINF,1.0,Bajo,Bajo,Bajo,Bajo
3699,90.5,6,5,27,2,0,1,0,M,Soltero,ICD,1.0,Bajo,Bajo,Bajo,Bajo
3700,87.7,5,5,21,1,0,0,0,F,Soltero,ICD,3.0,Bajo,Medio,Medio,Bajo
3701,72.0,7,7,23,2,0,0,0,F,Soltero,IINF,3.0,Bajo,Medio,Medio,Bajo
3702,72.1,2,4,26,1,0,0,0,F,Casado,ICD,4.0,Bajo,Medio,Medio,Bajo
3703,94.7,7,5,19,3,0,0,0,F,Soltero,ICD,1.0,Bajo,Bajo,Bajo,Bajo
3704,79.4,10,4,24,3,0,0,0,F,Soltero,ISC,0.0,Bajo,Bajo,Bajo,Bajo
3705,79.3,7,4,23,1,0,0,0,F,Casado,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3706,90.3,1,4,19,3,0,0,0,M,Soltero,ICD,7.0,Medio,Alto,Alto,Medio
3707,93.7,7,8,25,1,0,0,0,M,Soltero,IINF,7.0,Medio,Alto,Alto,Medio
3708,94.7,5,4,24,3,0,1,1,M,Soltero,IINF,4.0,Bajo,Medio,Medio,Bajo
3709,88.8,3,8,22,0,0,0,1,F,Soltero,IGE,6.0,Medio,Alto,Alto,Medio
3710,79.4,3,7,22,0,0,0,0,F,Soltero,ISC,2.0,Bajo,Medio,Medio,Bajo
3711,72.1,4,5,24,0,0,0,0,M,Soltero,ICD,2.0,Bajo,Medio,Medio,Bajo
3712,89.4,2,5,26,2,0,1,1,M,Soltero,ICD,4.0,Bajo,Medio,Medio,Bajo
3713,84.0,2,5,26,2,0,0,0,F,Soltero,IGE,2.0,Bajo,Medio,Medio,Bajo
3714,80.6,1,5,26,0,0,0,1,M,Casado,ICD,2.0,Bajo,Medio,Medio,Bajo
3715,92.7,5,5,23,2,0,1,0,F,Soltero,ISC,9.0,Alto,Alto,Alto,Alto
3716,72.8,4,5,27,3,0,1,1,F,Casado,IGE,7.0,Medio,Alto,Alto,Medio
3717,82.3,10,5,23,1,0,0,0,M,Soltero,ISC,2.0,Bajo,Medio,Medio,Bajo
3718,70.3,2,7,20,1,0,1,1,M,Casado,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3719,81.7,3,4,18,1,0,0,1,F,Soltero,IGE,10.0,Alto,Alto,Alto,Alto
3720,71.4,7,6,24,0,0,0,0,F,Soltero,IINF,0.0,Bajo,Bajo,Bajo,Bajo
3721,73.0,7,8,21,2,0,0,0,M,Soltero,ISC,2.0,Bajo,Medio,Medio,Bajo
3722,72.9,4,6,18,3,0,0,1,F,Soltero,ICD,7.0,Medio,Alto,Alto,Medio
3723,86.2,5,6,25,3,0,1,0,M,Soltero,ICD,3.0,Bajo,Medio,Medio,Bajo
3724,88.7,5,4,23,0,0,0,1,M,Casado,ISC,4.0,Bajo,Medio,Medio,Bajo
3725,84.6,6,4,23,3,0,0,0,F,Casado,ICD,8.0,Alto,Alto,Alto,Alto
3726,94.1,9,4,19,3,0,1,0,F,Soltero,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3727,79.4,2,5,18,3,0,1,0,M,Soltero,ISC,6.0,Medio,Alto,Alto,Medio
3728,77.1,5,7,19,3,0,0,0,F,Soltero,IGE,3.0,Bajo,Medio,Medio,Bajo
3729,91.7,3,5,21,2,0,0,1,F,Soltero,ISC,4.0,Bajo,Medio,Medio,Bajo
3730,75.6,4,7,19,3,0,0,0,M,Soltero,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3731,94.1,10,7,18,1,0,1,0,M,Soltero,ICD,9.0,Alto,Alto,Alto,Alto
3732,70.3,6,6,24,0,0,0,0,F,Casado,ICD,9.0,Alto,Alto,Alto,Alto
3733,94.2,8,6,25,2,0,1,0,M,Soltero,ICD,3.0,Bajo,Medio,Medio,Bajo
3734,71.1,1,7,23,3,0,0,1,M,Soltero,IINF,6.0,Medio,Alto,Alto,Medio
3735,92.3,10,7,21,2,0,0,1,M,Soltero,IGE,2.0,Bajo,Medio,Medio,Bajo
3736,83.2,8,5,23,3,0,0,0,F,Soltero,IINF,7.0,Medio,Alto,Alto,Medio
3737,94.8,7,5,20,1,0,0,1,F,Soltero,IINF,1.0,Bajo,Bajo,Bajo,Bajo
3738,71.8,1,6,25,0,0,0,1,F,Soltero,ISC,0.0,Bajo,Bajo,Bajo,Bajo
3739,83.8,2,4,27,3,0,1,0,M,Casado,IINF,7.0,Medio,Alto,Alto,Medio
3740,94.2,3,7,19,3,0,0,1,F,Soltero,ISC,3.0,Bajo,Medio,Medio,Bajo
3741,83.1,1,5,22,3,0,0,0,F,Soltero,ISC,5.0,Medio,Alto,Alto,Medio
3742,85.7,9,6,18,3,0,1,0,F,Casado,IINF,1.0,Bajo,Bajo,Bajo,Bajo
3743,87.4,8,5,23,0,0,0,1,F,Soltero,IGE,4.0,Bajo,Medio,Medio,Bajo
3744,81.4,2,7,19,0,0,1,0,M,Soltero,IGE,5.0,Medio,Alto,Alto,Medio
3745,85.7,9,7,21,1,0,0,1,F,Soltero,IGE,3.0,Bajo,Medio,Medio,Bajo
3746,84.6,7,8,23,0,0,0,1,M,Soltero,IGE,5.0,Medio,Alto,Alto,Medio
3747,92.5,9,4,27,3,0,0,0,M,Soltero,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3748,71.1,6,8,25,1,0,0,1,M,Soltero,IINF,1.0,Bajo,Bajo,Bajo,Bajo
3749,77.0,6,6,25,1,0,1,0,M,Soltero,IINF,5.0,Medio,Alto,Alto,Medio
3750,93.8,4,5,23,1,0,0,0,M,Soltero,ICD,2.0,Bajo,Medio,Medio,Bajo
3751,92.3,10,6,21,3,0,0,0,F,Casado,IGE,3.0,Bajo,Medio,Medio,Bajo
3752,81.4,10,7,25,2,0,0,1,M,Soltero,IINF,10.0,Alto,Alto,Alto,Alto
3753,85.5,2,8,25,3,0,0,0,F,Soltero,ICD,1.0,Bajo,Bajo,Bajo,Bajo
3754,76.9,7,8,27,0,0,1,0,M,Soltero,IGE,6.0,Medio,Alto,Alto,Medio
3755,74.7,5,8,18,0,0,0,0,M,Soltero,ISC,4.0,Bajo,Medio,Medio,Bajo
3756,81.6,6,6,21,3,0,0,0,F,Soltero,ICD,2.0,Bajo,Medio,Medio,Bajo
3757,78.8,2,7,21,3,0,1,0,M,Casado,IINF,2.0,Bajo,Medio,Medio,Bajo
3758,84.6,5,5,24,1,0,0,0,M,Casado,ISC,9.0,Alto,Alto,Alto,Alto
3759,71.9,10,5,24,3,0,1,0,F,Soltero,ISC,6.0,Medio,Alto,Alto,Medio
3760,94.4,4,6,25,1,0,0,0,M,Soltero,ISC,7.0,Medio,Alto,Alto,Medio
3761,94.7,9,8,22,0,0,0,1,M,Soltero,ICD,1.0,Bajo,Bajo,Bajo,Bajo
3762,87.5,6,4,24,1,0,0,0,M,Soltero,IINF,1.0,Bajo,Bajo,Bajo,Bajo
3763,83.4,2,6,25,3,0,1,0,F,Soltero,ISC,0.0,Bajo,Bajo,Bajo,Bajo
3764,77.7,1,6,26,0,0,1,1,F,Casado,IGE,9.0,Alto,Alto,Alto,Alto
3765,90.3,5,7,20,2,0,0,0,F,Soltero,ISC,8.0,Alto,Alto,Alto,Alto
3766,87.1,9,5,20,1,0,0,1,F,Soltero,ISC,9.0,Alto,Alto,Alto,Alto
3767,74.1,6,6,21,0,0,0,0,M,Soltero,ICD,2.0,Bajo,Medio,Medio,Bajo
