carrera,promedio_anterior,semestre,materias,transporte,trabajo,beca,sexo,edad,estado_civil,suma_ansiedad,nivel_ansiedad,carrera_cod,sexo_cod,estado_civil_cod
ISC,82.2,2,6,0,0,0,M,18,Soltero,7,Medio,3,0,1
IINF,80.2,6,6,3,0,0,F,18,Soltero,10,Alto,2,1,1
ISC,89.3,9,7,0,1,0,F,26,Casado,5,Bajo,3,1,0
IINF,70.3,1,8,2,0,0,M,27,Soltero,0,Bajo,2,0,1
IINF,85.0,6,7,2,0,0,F,23,Soltero,1,Bajo,2,1,1
IGE,84.1,9,5,0,1,0,M,27,Soltero,2,Bajo,1,0,1
ISC,87.9,8,7,0,0,0,M,22,Soltero,3,Bajo,3,0,1
IGE,85.0,6,4,3,0,0,F,18,Casado,5,Bajo,1,1,0
ISC,90.7,3,5,3,0,1,M,23,Soltero,4,Bajo,3,0,1
ISC,94.0,8,5,0,1,0,F,23,Soltero,4,Bajo,3,1,1
ICD,78.6,9,8,0,0,0,M,20,Soltero,6,Medio,0,0,1
ISC,75.7,1,6,0,0,0,F,25,Soltero,1,Bajo,3,1,1
IGE,80.6,9,5,0,0,1,F,18,Soltero,1,Bajo,1,1,1
IINF,77.2,6,6,1,0,1,F,18,Soltero,9,Alto,2,1,1
ISC,85.4,6,7,0,0,1,F,23,Casado,2,Bajo,3,1,0
ICD,92.8,4,4,3,0,1,F,27,Casado,0,Bajo,0,1,0
IGE,73.5,1,8,2,0,0,F,18,Soltero,3,Bajo,1,1,1
ISC,72.5,10,6,1,1,1,F,23,Casado,6,Medio,3,1,0
IGE,76.4,8,5,0,0,1,M,18,Soltero,0,Bajo,1,0,1
ICD,88.2,2,6,2,1,0,M,23,Soltero,7,Medio,0,0,1
ICD,84.8,1,5,1,1,1,M,20,Soltero,3,Bajo,0,0,1
IGE,72.6,2,6,2,1,0,F,25,Soltero,0,Bajo,1,1,1
ISC,93.0,1,5,0,0,0,M,23,Soltero,6,Medio,3,0,1
IINF,89.8,1,7,0,0,0,M,18,Soltero,0,Bajo,2,0,1
ICD,70.6,9,5,3,0,0,M,22,Soltero,2,Bajo,0,0,1
ISC,86.3,1,5,0,0,0,F,25,Soltero,0,Bajo,3,1,1
ISC,89.3,4,4,0,0,0,F,20,Soltero,1,Bajo,3,1,1
IINF,79.4,10,5,1,1,0,M,23,Soltero,7,Medio,2,0,1
ICD,71.7,6,4,3,1,0,M,22,Soltero,1,Bajo,0,0,1
ICD,71.9,7,8,1,0,1,F,23,Soltero,0,Bajo,0,1,1
ISC,72.6,2,4,2,0,0,M,27,Soltero,0,Bajo,3,0,1
ISC,91.0,6,7,0,1,0,M,18,Soltero,4,Bajo,3,0,1
IINF,92.8,7,4,2,0,1,F,24,Casado,0,Bajo,2,1,0
IINF,73.1,10,8,1,0,1,F,26,Soltero,1,Bajo,2,1,1
ICD,75.9,10,7,0,1,0,M,19,Soltero,4,Bajo,0,0,1
IGE,74.1,2,6,0,0,1,F,27,Casado,3,Bajo,1,1,0
ICD,74.7,2,6,1,0,1,F,22,Soltero,6,Medio,0,1,1
ISC,90.9,10,4,1,0,1,M,27,Soltero,7,Medio,3,0,1
ICD,78.3,7,4,1,1,0,F,21,Soltero,7,Medio,0,1,1
IGE,77.8,1,8,1,0,0,F,23,Casado,10,Alto,1,1,0
IINF,75.7,8,8,1,0,0,F,23,Soltero,7,Medio,2,1,1
IGE,85.2,3,5,0,0,0,F,19,Soltero,3,Bajo,1,1,1
IGE,79.5,6,8,1,0,0,M,19,Soltero,2,Bajo,1,0,1
IGE,88.6,9,5,0,0,0,M,21,Soltero,1,Bajo,1,0,1
IINF,75.1,6,7,0,1,0,M,18,Soltero,6,Medio,2,0,1
IGE,89.7,9,4,1,0,0,M,26,Soltero,0,Bajo,1,0,1
IGE,85.1,7,7,1,1,0,M,24,Soltero,5,Bajo,1,0,1
IGE,72.9,9,8,3,0,1,F,24,Casado,4,Bajo,1,1,0
ISC,80.4,2,7,0,0,0,F,20,Soltero,10,Alto,3,1,1
IGE,91.6,8,7,1,0,0,F,20,Soltero,0,Bajo,1,1,1
IINF,93.1,8,7,1,0,1,F,18,Casado,2,Bajo,2,1,0
IGE,81.6,2,8,1,0,0,F,20,Soltero,6,Medio,1,1,1
IGE,82.0,4,7,3,0,0,M,20,Soltero,2,Bajo,1,0,1
IINF,93.0,7,5,3,0,1,M,21,Soltero,1,Bajo,2,0,1
IGE,84.7,4,8,2,0,0,M,21,Casado,1,Bajo,1,0,0
IINF,70.8,4,7,0,0,1,F,20,Soltero,1,Bajo,2,1,1
IGE,92.8,6,8,2,1,0,M,27,Soltero,3,Bajo,1,0,1
IINF,76.2,10,6,1,1,0,F,25,Casado,3,Bajo,2,1,0
IGE,84.4,6,5,3,0,0,M,25,Soltero,6,Medio,1,0,1
IGE,74.1,10,7,3,0,0,F,18,Casado,0,Bajo,1,1,0
ISC,70.8,3,6,2,0,1,F,24,Casado,0,Bajo,3,1,0
ISC,77.8,9,6,3,0,0,F,19,Soltero,5,Bajo,3,1,1
IGE,89.5,10,8,1,0,0,F,18,Soltero,1,Bajo,1,1,1
IGE,76.9,2,6,3,1,0,F,20,Soltero,9,Alto,1,1,1
ICD,75.5,6,5,2,0,0,F,21,Soltero,1,Bajo,0,1,1
IINF,75.3,7,5,1,0,0,F,23,Soltero,1,Bajo,2,1,1
ICD,82.9,9,4,2,1,0,F,27,Soltero,6,Medio,0,1,1
ISC,94.4,3,5,3,0,0,F,22,Casado,7,Medio,3,1,0
ISC,81.5,10,6,2,1,0,M,21,Soltero,1,Bajo,3,0,1
ISC,83.9,3,5,2,0,0,M,25,Soltero,3,Bajo,3,0,1
ISC,91.5,7,8,0,0,0,F,21,Casado,1,Bajo,3,1,0
IGE,83.4,4,4,3,0,0,M,27,Casado,1,Bajo,1,0,0
ISC,74.6,8,6,3,0,1,M,19,Soltero,3,Bajo,3,0,1
IGE,77.5,7,4,2,1,0,F,20,Casado,3,Bajo,1,1,0
IGE,77.7,5,6,0,0,0,F,23,Soltero,4,Bajo,1,1,1
ISC,79.9,7,8,3,1,0,F,25,Casado,1,Bajo,3,1,0
ISC,80.7,3,4,1,0,0,M,25,Soltero,0,Bajo,3,0,1
IINF,90.0,2,7,2,0,0,M,26,Soltero,0,Bajo,2,0,1
ICD,78.7,6,6,3,0,0,M,24,Soltero,7,Medio,0,0,1
ISC,81.7,2,7,1,0,1,M,19,Soltero,7,Medio,3,0,1
IINF,85.6,3,4,3,1,0,M,25,Soltero,4,Bajo,2,0,1
IINF,79.4,6,7,1,0,1,M,24,Soltero,6,Medio,2,0,1
ICD,90.9,5,7,2,0,1,F,25,Soltero,2,Bajo,0,1,1
IGE,84.7,8,4,3,0,0,F,20,Casado,2,Bajo,1,1,0
ISC,77.4,9,8,3,0,0,M,24,Soltero,4,Bajo,3,0,1
ICD,87.9,3,7,0,0,0,M,27,Soltero,2,Bajo,0,0,1
ISC,83.2,10,7,2,0,0,M,26,Soltero,2,Bajo,3,0,1
IINF,83.4,3,8,1,1,1,M,20,Soltero,9,Alto,2,0,1
IINF,82.0,3,7,3,0,0,F,27,Casado,7,Medio,2,1,0
IGE,82.4,6,7,3,0,0,M,23,Casado,2,Bajo,1,0,0
IINF,89.1,1,7,1,0,1,M,19,Soltero,1,Bajo,2,0,1
IINF,72.6,7,5,2,0,0,M,19,Soltero,10,Alto,2,0,1
ICD,78.4,1,8,0,1,0,M,22,Soltero,0,Bajo,0,0,1
ISC,71.9,5,7,0,0,0,F,22,Soltero,2,Bajo,3,1,1
ISC,88.8,10,8,3,0,0,F,24,Casado,7,Medio,3,1,0
ICD,76.8,8,6,1,0,1,F,19,Soltero,3,Bajo,0,1,1
IGE,92.4,4,6,3,0,0,M,24,Soltero,4,Bajo,1,0,1
ISC,83.2,5,7,1,0,0,F,22,Soltero,8,Alto,3,1,1
IINF,90.0,4,8,0,1,0,F,23,Soltero,0,Bajo,2,1,1
ISC,94.5,4,8,2,1,0,F,25,Casado,6,Medio,3,1,0
IINF,91.0,8,8,1,1,0,M,27,Soltero,3,Bajo,2,0,1
IGE,91.7,2,5,0,0,0,M,21,Soltero,4,Bajo,1,0,1
ICD,80.2,1,6,3,0,0,F,24,Soltero,0,Bajo,0,1,1
ISC,83.8,3,8,1,0,1,F,23,Soltero,9,Alto,3,1,1
ICD,76.3,9,8,2,0,0,M,27,Soltero,9,Alto,0,0,1
ISC,74.9,4,5,3,1,0,M,19,Soltero,3,Bajo,3,0,1
IINF,82.6,10,5,3,0,0,M,25,Soltero,6,Medio,2,0,1
ICD,84.9,5,8,0,1,1,F,27,Soltero,2,Bajo,0,1,1
ISC,78.5,2,4,1,1,0,M,26,Soltero,7,Medio,3,0,1
IINF,84.2,4,8,3,0,0,F,22,Soltero,1,Bajo,2,1,1
ICD,92.2,2,8,2,0,1,M,27,Soltero,0,Bajo,0,0,1
ICD,83.9,2,5,1,0,0,F,21,Soltero,7,Medio,0,1,1
ISC,88.0,4,5,2,0,0,F,23,Soltero,3,Bajo,3,1,1
ISC,90.1,6,8,3,1,0,M,25,Soltero,5,Bajo,3,0,1
ISC,94.7,7,8,2,0,0,F,20,Soltero,1,Bajo,3,1,1
IINF,85.1,10,8,0,0,1,M,27,Soltero,4,Bajo,2,0,1
ISC,90.2,3,5,2,0,0,F,18,Soltero,5,Bajo,3,1,1
ICD,94.1,3,8,1,1,0,F,21,Soltero,3,Bajo,0,1,1
ICD,93.6,10,8,2,0,1,M,21,Soltero,5,Bajo,0,0,1
ISC,73.5,6,7,2,1,0,F,18,Soltero,1,Bajo,3,1,1
ISC,80.2,3,4,0,0,0,F,26,Soltero,1,Bajo,3,1,1
IGE,78.1,2,6,2,1,0,M,20,Soltero,5,Bajo,1,0,1
ICD,72.2,8,4,2,1,0,F,22,Soltero,2,Bajo,0,1,1
IINF,85.8,5,7,3,0,0,F,23,Casado,3,Bajo,2,1,0
IGE,88.4,1,6,3,0,0,F,25,Soltero,10,Alto,1,1,1
ISC,91.2,3,8,1,1,0,M,23,Soltero,1,Bajo,3,0,1
ISC,73.1,10,7,3,0,0,M,20,Soltero,6,Medio,3,0,1
ICD,91.9,8,8,3,1,1,M,23,Soltero,4,Bajo,0,0,1
ISC,86.1,4,5,3,0,0,F,18,Soltero,2,Bajo,3,1,1
IINF,87.6,7,7,3,1,0,M,21,Soltero,2,Bajo,2,0,1
ICD,92.8,10,5,0,1,0,F,23,Casado,9,Alto,0,1,0
ISC,85.6,2,7,3,1,0,M,24,Soltero,6,Medio,3,0,1
ICD,78.4,7,7,0,0,0,F,27,Casado,7,Medio,0,1,0
ISC,90.6,5,5,0,0,0,M,20,Soltero,1,Bajo,3,0,1
ISC,79.1,5,6,3,0,0,M,26,Soltero,1,Bajo,3,0,1
ISC,70.9,6,4,2,0,1,M,24,Soltero,0,Bajo,3,0,1
IINF,90.8,9,8,0,0,0,M,18,Soltero,9,Alto,2,0,1
IINF,78.6,6,7,2,0,1,F,19,Soltero,8,Alto,2,1,1
ICD,89.3,8,8,2,1,0,F,18,Soltero,9,Alto,0,1,1
ISC,79.1,7,5,3,0,1,F,26,Soltero,2,Bajo,3,1,1
ISC,91.5,9,8,1,0,0,F,26,Casado,7,Medio,3,1,0
IINF,75.5,4,5,3,0,1,F,24,Casado,2,Bajo,2,1,0
ISC,94.4,2,8,1,0,0,F,27,Soltero,1,Bajo,3,1,1
IINF,89.5,7,4,1,0,0,F,20,Soltero,6,Medio,2,1,1
ISC,72.9,6,4,3,1,0,F,22,Soltero,0,Bajo,3,1,1
ICD,84.1,1,4,3,1,0,M,21,Soltero,7,Medio,0,0,1
ISC,94.6,9,4,1,0,0,F,24,Soltero,8,Alto,3,1,1
ISC,81.8,9,4,3,0,0,M,26,Soltero,2,Bajo,3,0,1
IGE,74.6,2,4,1,1,0,F,19,Soltero,5,Bajo,1,1,1
IINF,82.1,3,5,2,0,0,F,25,Soltero,3,Bajo,2,1,1
ISC,82.8,5,7,3,0,0,M,26,Casado,0,Bajo,3,0,0
ISC,88.5,5,8,2,0,0,M,27,Soltero,1,Bajo,3,0,1
IGE,87.5,1,4,0,0,1,F,27,Casado,0,Bajo,1,1,0
IGE,80.1,8,5,2,0,0,F,26,Soltero,1,Bajo,1,1,1
IINF,75.5,8,5,2,0,1,M,27,Soltero,1,Bajo,2,0,1
IGE,86.1,4,5,1,0,0,F,24,Soltero,5,Bajo,1,1,1
ICD,80.5,7,7,2,1,1,F,26,Soltero,2,Bajo,0,1,1
IGE,73.3,10,8,3,0,1,M,26,Soltero,3,Bajo,1,0,1
ICD,92.5,3,7,1,1,0,F,20,Soltero,1,Bajo,0,1,1
IINF,87.3,6,6,0,1,0,F,21,Soltero,1,Bajo,2,1,1
IINF,87.1,10,5,3,0,0,M,19,Soltero,4,Bajo,2,0,1
IINF,90.6,10,6,0,0,1,F,27,Soltero,3,Bajo,2,1,1
IINF,83.2,9,4,2,0,0,F,20,Soltero,4,Bajo,2,1,1
IINF,90.4,1,4,3,0,0,M,22,Soltero,5,Bajo,2,0,1
ICD,82.5,5,7,3,1,0,M,22,Soltero,1,Bajo,0,0,1
ICD,71.7,4,8,0,0,1,M,23,Soltero,7,Medio,0,0,1
IINF,80.1,8,6,3,1,1,F,24,Soltero,5,Bajo,2,1,1
IGE,82.4,1,8,3,0,1,F,24,Casado,7,Medio,1,1,0
ISC,88.0,9,7,3,0,0,F,18,Soltero,7,Medio,3,1,1
IINF,72.7,6,4,2,0,0,F,19,Soltero,2,Bajo,2,1,1
IGE,73.5,4,8,0,0,0,F,26,Soltero,9,Alto,1,1,1
ISC,76.6,9,8,3,0,0,M,27,Soltero,4,Bajo,3,0,1
IINF,76.7,5,4,1,0,0,M,19,Soltero,2,Bajo,2,0,1
IINF,88.3,5,6,1,0,0,M,23,Soltero,4,Bajo,2,0,1
ICD,76.3,5,4,1,0,0,M,18,Soltero,4,Bajo,0,0,1
ISC,85.8,1,8,1,1,0,F,20,Soltero,9,Alto,3,1,1
ISC,82.4,1,6,2,0,1,F,19,Soltero,7,Medio,3,1,1
IGE,84.3,8,6,3,1,0,M,20,Soltero,3,Bajo,1,0,1
ICD,91.0,8,4,0,1,1,F,22,Soltero,6,Medio,0,1,1
ICD,80.1,6,8,3,1,0,F,27,Casado,2,Bajo,0,1,0
ICD,89.3,4,7,2,0,0,M,23,Soltero,2,Bajo,0,0,1
ICD,80.6,2,8,1,1,0,M,26,Soltero,4,Bajo,0,0,1
ISC,78.8,2,5,2,0,0,M,27,Soltero,1,Bajo,3,0,1
ISC,94.0,9,7,3,0,0,M,21,Soltero,7,Medio,3,0,1
IINF,74.6,5,6,0,0,0,F,24,Casado,1,Bajo,2,1,0
IINF,72.3,4,7,2,1,0,M,23,Soltero,3,Bajo,2,0,1
ICD,89.3,10,6,0,0,0,M,19,Casado,5,Bajo,0,0,0
ICD,71.7,1,6,2,1,0,M,27,Casado,3,Bajo,0,0,0
ICD,90.9,7,7,0,0,1,F,25,Soltero,5,Bajo,0,1,1
IINF,80.9,3,6,0,1,1,M,24,Soltero,4,Bajo,2,0,1
IGE,92.9,6,6,1,1,0,M,24,Soltero,4,Bajo,1,0,1
IGE,88.0,5,5,0,0,0,M,25,Casado,0,Bajo,1,0,0
IINF,85.3,5,8,1,1,1,M,18,Soltero,1,Bajo,2,0,1
IINF,93.7,5,8,3,0,1,M,18,Soltero,10,Alto,2,0,1
IINF,79.9,1,5,3,0,0,F,25,Soltero,6,Medio,2,1,1
IINF,93.9,1,7,1,0,1,M,21,Soltero,1,Bajo,2,0,1
IINF,73.4,3,4,1,0,0,M,22,Soltero,0,Bajo,2,0,1
IINF,82.1,10,4,2,0,1,F,25,Soltero,3,Bajo,2,1,1
ICD,76.7,4,4,2,0,1,M,22,Casado,1,Bajo,0,0,0
ICD,83.5,5,5,2,0,0,M,27,Casado,2,Bajo,0,0,0
ICD,74.1,2,5,3,1,0,M,21,Casado,0,Bajo,0,0,0
ICD,91.0,8,6,2,1,1,F,23,Soltero,4,Bajo,0,1,1
IINF,91.2,2,4,0,1,0,M,22,Soltero,7,Medio,2,0,1
IGE,93.9,9,7,0,1,0,F,24,Soltero,0,Bajo,1,1,1
ISC,73.9,2,7,2,1,1,F,27,Soltero,8,Alto,3,1,1
IINF,85.6,9,4,0,0,0,M,24,Soltero,1,Bajo,2,0,1
ISC,81.9,7,4,3,0,0,F,21,Soltero,3,Bajo,3,1,1
IGE,78.6,8,4,0,1,0,M,22,Soltero,10,Alto,1,0,1
ICD,78.8,2,5,3,0,0,M,20,Casado,0,Bajo,0,0,0
IGE,80.3,7,5,1,0,0,F,21,Soltero,5,Bajo,1,1,1
IINF,87.6,6,5,1,0,0,F,21,Soltero,3,Bajo,2,1,1
ICD,85.0,4,8,1,0,0,F,20,Soltero,0,Bajo,0,1,1
IINF,81.5,7,7,1,0,0,M,27,Soltero,9,Alto,2,0,1
ICD,71.9,4,7,0,0,0,M,22,Soltero,4,Bajo,0,0,1
ISC,71.9,2,6,2,0,0,F,22,Casado,5,Bajo,3,1,0
ISC,70.1,10,5,0,0,0,M,24,Casado,5,Bajo,3,0,0
ISC,94.2,7,8,3,0,0,M,21,Casado,7,Medio,3,0,0
IGE,70.1,8,8,0,0,0,M,21,Casado,2,Bajo,1,0,0
IINF,72.6,2,7,0,1,0,M,26,Soltero,5,Bajo,2,0,1
IGE,77.9,5,5,3,0,0,F,23,Soltero,2,Bajo,1,1,1
ISC,90.2,1,6,1,0,1,M,21,Soltero,0,Bajo,3,0,1
IINF,94.1,7,5,1,1,0,F,19,Soltero,7,Medio,2,1,1
ISC,89.8,8,4,1,0,0,M,23,Soltero,2,Bajo,3,0,1
IGE,87.3,6,5,2,0,0,F,19,Soltero,2,Bajo,1,1,1
IGE,83.0,5,4,3,0,0,M,22,Soltero,4,Bajo,1,0,1
IGE,72.2,6,4,3,1,0,M,23,Soltero,3,Bajo,1,0,1
ISC,94.0,2,6,0,0,0,M,21,Soltero,3,Bajo,3,0,1
IINF,89.0,1,7,2,0,0,M,20,Soltero,2,Bajo,2,0,1
IINF,86.0,7,5,1,1,0,M,24,Soltero,5,Bajo,2,0,1
ISC,89.0,7,4,2,0,0,F,19,Soltero,6,Medio,3,1,1
IINF,88.1,10,5,3,0,0,F,23,Soltero,9,Alto,2,1,1
ISC,85.9,10,7,3,0,0,M,21,Soltero,0,Bajo,3,0,1
IINF,94.5,2,7,0,0,0,M,23,Soltero,4,Bajo,2,0,1
